X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
10.4425300,45.5864700,2,,0,0
12.1281400,41.9358900,1,80,0,0
16.8822500,41.0524400,2,,0,0
8.4966400,45.3149400,1,70,0,0
11.2918600,43.7630000,1,50,0,0
18.3568300,39.8349700,2,,0,0
12.0456400,45.4696900,1,70,0,0
18.3239200,39.9802500,2,,0,0
18.3249200,39.9771400,2,,0,0
18.3434700,40.2789200,2,,0,0
15.2545800,37.8207200,1,50,0,0
13.4695300,43.6078100,1,70,0,0
8.8768600,45.7050800,2,,0,0
12.0268600,45.4397200,1,50,0,0
11.3780600,44.6472200,2,,0,0
15.6397200,38.0988100,2,,0,0
14.8511900,42.0341400,2,,0,0
14.8515800,42.0340300,2,,0,0
8.9862800,39.6816700,1,50,0,0
15.7311700,41.7013900,2,,0,0
15.7313900,41.7006900,2,,0,0
12.4965600,41.8669200,3,50,0,0
9.1127500,45.5263600,3,50,0,0
9.1163900,45.5216700,3,50,0,0
9.2286900,44.3489200,2,,0,0
7.8926400,45.2833300,3,50,0,0
9.2244200,44.3509400,2,,0,0
9.1091900,45.4091900,1,90,0,0
9.1189700,45.4368900,3,50,0,0
9.1260600,45.4278600,1,50,0,0
9.1298600,45.4980300,2,,0,0
9.1396400,45.5191100,2,,0,0
9.1417800,45.5194700,2,,0,0
9.1447500,45.4856900,1,70,0,0
9.1502200,45.4892800,1,70,0,0
9.1557500,45.4928600,1,70,0,0
9.1560800,45.5168900,2,,0,0
9.1565600,45.5221900,1,50,0,0
9.2571100,45.5030600,1,90,0,0
9.2622200,45.5355800,1,90,0,0
9.3033600,45.5382500,1,90,0,0
9.3060000,45.5383100,1,90,0,0
9.5760800,45.1700300,2,,0,0
9.3539200,45.5892500,1,90,0,0
9.3560000,45.5907200,1,90,0,0
9.3629200,45.6326400,1,90,0,0
9.6906700,45.4796700,1,70,0,0
8.8684200,45.6643100,2,,0,0
8.7063900,45.9763900,1,50,0,0
